temperature,mode,swing,fan,frequency,unique_cycle,code
30,C,1,25,36630,"3464,1755,419,1319,419,450,417,30033,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,33,17,18,34,34,34,34,33,17,17,18,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,34,34,34,34,20"
18,C,0,25,36630,"3464,1755,419,1318,419,449,417,30033,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,33,34,18,34,34,34,34,34,34,33,18,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,34,17,33,36"
20,C,0,25,36630,"3465,1753,420,1318,419,450,419,30031,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,34,18,18,34,34,34,34,34,34,33,18,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,33,17,33,36"
22,C,0,25,36630,"3465,1753,419,1319,417,452,419,30031,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,33,18,18,34,34,34,34,34,34,33,18,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,34,34,17,36"
23,C,0,25,36630,"3466,1754,420,1319,417,452,417,30032,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,17,18,18,34,34,34,34,34,34,33,18,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,18,34,17,36"
24,C,0,25,36630,"3465,1753,419,1319,419,452,417,30032,419,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,34,33,18,34,34,34,34,34,34,33,18,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,33,34,17,36"
25,C,0,25,36630,"3467,1753,419,1318,419,450,417,30033,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,18,33,18,34,34,34,34,34,34,33,18,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,17,34,17,36"
26,C,0,25,36900,"3466,1753,419,1318,419,450,417,30032,419,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,33,33,18,34,34,34,34,34,34,33,18,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,34,18,17,36"
27,C,0,25,36630,"3464,1755,419,1318,419,449,417,30033,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,17,33,18,34,34,34,34,34,34,33,18,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,18,18,17,36"
28,C,0,25,36630,"3465,1755,417,1321,417,450,417,30034,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,34,17,18,34,34,34,34,34,34,33,18,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,33,18,17,36"
